index,Name,Date,Open,High,Low,Close,Adj Close,Volume
56,Nifty,2022-08-22,17682.900391,17690.050781,17467.349609,17490.699219,17490.699219,287600
56,Bank Nifty,2022-09-22,40889.050781,41159.199219,40360.199219,40630.601563,40630.128906,209500.0
56,Fin Nifty,2022-08-22,17997.050781,18007.949219,17749.800781,17763.400391,17763.400391,600400.0
57,Nifty,2022-08-23,17357.349609,17625.550781,17345.199219,17577.5,17577.5,285600
57,Bank Nifty,2022-09-23,40429.351563,40528.398438,39412.699219,39546.25,39545.789063,226200.0
57,Fin Nifty,2022-08-23,17626.849609,17963.949219,17621.349609,17897.349609,17897.349609,625300.0
58,Nifty,2022-08-24,17525.449219,17623.650391,17499.25,17604.949219,17604.949219,262000
58,Bank Nifty,2022-09-26,39027.851563,39229.398438,38492.199219,38616.25,38615.800781,241800.0
58,Fin Nifty,2022-08-24,17815.800781,18011.650391,17814.050781,17987.0,17987.0,609100.0
59,Nifty,2022-08-25,17679.0,17726.5,17487.449219,17522.449219,17522.449219,230200
59,Bank Nifty,2022-09-27,38811.699219,39050.5,38184.898438,38359.148438,38358.703125,168700.0
59,Fin Nifty,2022-08-25,18053.849609,18165.800781,17862.349609,17916.349609,17916.349609,673900.0
60,Nifty,2022-08-26,17619.300781,17685.849609,17519.349609,17558.900391,17558.900391,266600
60,Bank Nifty,2022-09-28,38081.25,38368.800781,37626.199219,37759.851563,37759.414063,210600.0
60,Fin Nifty,2022-08-26,18010.150391,18102.300781,17879.050781,17933.900391,17933.900391,582700.0
61,Nifty,2022-08-29,17188.650391,17380.150391,17166.199219,17312.900391,17312.900391,244900
61,Bank Nifty,2022-09-29,38092.851563,38283.398438,37536.648438,37647.75,37647.3125,253000.0
61,Fin Nifty,2022-08-29,17533.25,17693.400391,17481.050781,17631.699219,17631.699219,610200.0
62,Nifty,2022-08-30,17414.949219,17777.650391,17401.5,17759.300781,17759.300781,324700
62,Bank Nifty,2022-09-30,37660.0,38811.0,37386.351563,38631.949219,38631.5,246100.0
62,Fin Nifty,2022-08-30,17734.550781,18265.699219,17724.900391,18235.050781,18235.050781,962000.0
63,Nifty,2022-09-01,17485.699219,17695.599609,17468.449219,17542.800781,17542.800781,308500
63,Bank Nifty,2022-10-03,38444.898438,38641.601563,37963.25,38029.648438,38029.207031,172900.0
63,Fin Nifty,2022-09-01,17913.949219,18248.5,17912.75,18056.0,18056.0,900600.0
64,Nifty,2022-09-02,17598.400391,17643.849609,17476.449219,17539.449219,17539.449219,256300
