,Date,Open,High,Low,Close,Adj Close,Volume
,Date,Open,High,Low,Close,Adj Close,Volume
79,2022-10-27,41440.699219,41511.800781,41178.648438,41299.300781,41298.820313,239400.0
80,2022-09-26,17156.300781,17196.400391,16978.300781,17016.300781,17016.300781,492000
80,2022-10-28,41236.800781,41482.398438,40839.300781,40990.851563,40990.375,237100.0
81,2022-09-27,17110.900391,17176.449219,16942.349609,17007.400391,17007.400391,359900
81,2022-10-31,41265.699219,41353.699219,41106.101563,41307.898438,41307.417969,237200.0
82,2022-09-28,16870.550781,17037.599609,16820.400391,16858.599609,16858.599609,323900
82,2022-11-01,41552.398438,41677.25,41188.550781,41289.550781,41289.070313,304400.0
83,2022-09-29,16993.599609,17026.050781,16788.599609,16818.099609,16818.099609,340000
83,2022-11-02,41472.601563,41474.300781,41060.449219,41146.648438,41146.171875,175800.0
84,2022-09-30,16798.050781,17187.099609,16747.699219,17094.349609,17094.349609,376100
84,2022-11-03,40873.699219,41478.0,40819.148438,41298.351563,41297.871094,263600.0
85,2022-10-03,17102.099609,17114.650391,16855.550781,16887.349609,16887.349609,278400
85,2022-11-04,41314.851563,41516.199219,41051.148438,41258.449219,41257.96875,190400.0
86,2022-10-04,17147.449219,17287.300781,17117.300781,17274.300781,17274.300781,226000
86,2022-11-07,41740.648438,41779.398438,41337.050781,41686.699219,41686.214844,393400.0
87,2022-10-06,17379.25,17428.800781,17315.650391,17331.800781,17331.800781,265500
87,2022-11-09,41914.851563,41948.898438,41667.898438,41783.199219,41782.714844,490500.0
88,2022-10-07,17287.199219,17337.349609,17216.949219,17314.650391,17314.650391,216300
88,2022-11-10,41462.851563,41643.898438,41318.601563,41603.75,41603.265625,253400.0
89,2022-10-10,17094.349609,17280.150391,17064.699219,17241.0,17241.0,234000
89,2022-11-11,42163.398438,42345.5,41918.101563,42137.050781,42136.5625,255400.0
90,2022-10-11,17256.050781,17261.800781,16950.300781,16983.550781,16983.550781,282600
90,2022-11-14,42177.550781,42231.449219,41965.449219,42076.75,42076.261719,142700.0
91,2022-10-12,17025.550781,17142.349609,16960.050781,17123.599609,17123.599609,256000
91,2022-11-15,42234.851563,42450.050781,42079.550781,42372.699219,42372.207031,139400.0
92,2022-10-13,17087.349609,17112.349609,16956.949219,17014.349609,17014.349609,266400
92,2022-11-16,42371.800781,42611.75,42296.300781,42535.300781,42534.804688,185400.0
93,2022-10-14,17322.300781,17348.550781,17169.75,17185.699219,17185.699219,227000
93,2022-11-17,42399.648438,42622.75,42366.550781,42458.050781,42457.558594,165400.0
94,2022-10-17,17144.800781,17328.550781,17098.550781,17311.800781,17311.800781,212200
94,2022-11-18,42545.75,42590.75,42223.699219,42437.449219,42436.957031,280100.0
95,2022-10-18,17438.75,17527.800781,17434.050781,17486.949219,17486.949219,239500
95,2022-11-21,42286.949219,42386.800781,42202.550781,42346.550781,42346.058594,259100.0
96,2022-10-19,17568.150391,17607.599609,17472.849609,17512.25,17512.25,210500
96,2022-11-22,42467.398438,42508.75,42347.148438,42457.050781,42456.558594,216300.0
97,2022-10-20,17423.099609,17584.150391,17421.0,17563.949219,17563.949219,249600
97,2022-11-23,42668.550781,42860.550781,42556.398438,42729.101563,42728.605469,359100.0
98,2022-10-21,17622.849609,17670.150391,17520.75,17576.300781,17576.300781,277700
98,2022-11-24,42838.351563,43163.398438,42769.648438,43075.398438,43074.898438,204900.0
99,2022-10-24,17736.349609,17777.550781,17707.400391,17730.75,17730.75,45000
99,2022-11-25,43192.449219,43339.148438,42864.949219,42983.949219,42983.449219,502800.0
100,2022-10-25,17808.300781,17811.5,17637.0,17656.349609,17656.349609,251400
100,2022-11-28,42757.199219,43159.800781,42740.0,43020.449219,43019.949219,238700.0
101,2022-10-27,17771.400391,17783.900391,17654.5,17736.949219,17736.949219,324600
101,2022-11-29,42959.398438,43279.601563,42959.398438,43053.449219,43052.949219,223000.0
102,2022-10-28,17756.400391,17838.900391,17723.699219,17786.800781,17786.800781,250000
102,2022-11-30,43122.75,43332.300781,42880.050781,43231.0,43230.496094,202000.0
103,2022-10-31,17910.199219,18022.800781,17899.900391,18012.199219,18012.199219,227200
103,2022-12-01,43512.101563,43515.050781,43101.851563,43260.648438,43260.144531,268400.0
104,2022-11-01,18130.699219,18175.800781,18060.150391,18145.400391,18145.400391,349900
104,2022-12-02,42976.699219,43131.898438,42937.800781,43103.75,43103.25,212800.0
105,2022-11-02,18177.900391,18178.75,18048.650391,18082.849609,18082.849609,270900
105,2022-12-05,43269.351563,43372.148438,42985.0,43332.949219,43332.445313,242600.0
106,2022-11-03,17968.349609,18106.300781,17959.199219,18052.699219,18052.699219,213000
106,2022-12-06,43093.898438,43306.851563,43076.398438,43138.550781,43138.050781,379200.0
107,2022-11-04,18053.400391,18135.099609,18017.150391,18117.150391,18117.150391,267900
107,2022-12-07,43157.351563,43327.351563,42948.449219,43098.699219,43098.199219,242900.0
108,2022-11-07,18211.75,18255.5,18064.75,18202.800781,18202.800781,314800
108,2022-12-08,43142.25,43640.898438,43095.300781,43596.851563,43596.34375,355700.0
109,2022-11-09,18288.25,18296.400391,18117.5,18157.0,18157.0,307200
109,2022-12-09,43765.300781,43853.398438,43361.699219,43633.449219,43632.941406,443500.0
110,2022-11-10,18044.349609,18103.099609,17969.400391,18028.199219,18028.199219,256500
110,2022-12-12,43455.851563,43767.050781,43378.800781,43708.75,43708.242188,234200.0
111,2022-11-11,18272.349609,18362.300781,18259.349609,18349.699219,18349.699219,378500
111,2022-12-13,43793.699219,43983.800781,43767.75,43946.550781,43946.039063,277000.0
112,2022-11-14,18376.400391,18399.449219,18311.400391,18329.150391,18329.150391,301400
112,2022-12-14,44078.601563,44151.800781,43987.949219,44049.101563,44048.589844,349200.0
113,2022-11-15,18362.75,18427.949219,18282.0,18403.400391,18403.400391,250900
113,2022-12-15,43940.101563,44120.601563,43379.101563,43498.199219,43497.695313,421900.0
114,2022-11-16,18398.25,18442.150391,18344.150391,18409.650391,18409.650391,219300
114,2022-12-16,43261.75,43598.199219,43080.550781,43219.5,43218.996094,275200.0
115,2022-11-17,18358.699219,18417.599609,18312.949219,18343.900391,18343.900391,200500
115,2022-12-19,43346.351563,43451.449219,43110.300781,43413.75,43413.246094,175600.0
116,2022-11-18,18382.949219,18394.599609,18209.800781,18307.650391,18307.650391,198800
116,2022-12-20,43152.648438,43426.199219,42955.398438,43359.5,43358.996094,182300.0
117,2022-11-21,18246.400391,18262.300781,18133.349609,18159.949219,18159.949219,213800
117,2022-12-21,43525.75,43614.648438,42363.800781,42617.949219,42617.453125,279400.0
118,2022-11-22,18179.150391,18261.849609,18137.699219,18244.199219,18244.199219,177700
118,2022-12-22,42864.0,42933.5,42231.351563,42408.800781,42408.308594,344800.0
119,2022-11-23,18325.199219,18325.400391,18246.0,18267.25,18267.25,178800
119,2022-12-23,41951.351563,42226.648438,41597.648438,41668.050781,41667.566406,332600.0
120,2022-11-24,18326.099609,18529.699219,18294.25,18484.099609,18484.099609,204000
120,2022-12-26,,,,,,
121,2022-11-25,18528.449219,18534.900391,18445.099609,18512.75,18512.75,205900
121,2022-12-27,42827.75,42927.199219,42394.148438,42859.5,42859.0,229600.0
122,2022-11-28,18430.550781,18614.25,18365.599609,18562.75,18562.75,206500
122,2022-12-28,42733.601563,43034.949219,42694.851563,42827.699219,42827.203125,230500.0
123,2022-11-29,18552.449219,18678.099609,18552.150391,18618.050781,18618.050781,195300
123,2022-12-29,42684.898438,43498.050781,42489.800781,43252.351563,43251.847656,308300.0
124,2022-11-30,18625.699219,18816.050781,18616.550781,18758.349609,18758.349609,345600
124,2022-12-30,43401.699219,43422.949219,42833.101563,42986.449219,42985.949219,258700.0
125,2022-12-01,18871.949219,18887.599609,18778.199219,18812.5,18812.5,325000
125,2023-01-02,43038.25,43382.75,42961.75,43203.101563,43203.101563,1798102100.0
126,2022-12-02,18752.400391,18781.949219,18639.199219,18696.099609,18696.099609,254400
126,2023-01-03,43151.449219,43482.800781,43148.449219,43425.25,43425.25,197000.0
127,2022-12-05,18719.550781,18728.599609,18591.349609,18701.050781,18701.050781,288400
127,2023-01-04,43417.5,43578.398438,42858.648438,42958.800781,42958.800781,216800.0
128,2022-12-06,18600.650391,18654.900391,18577.900391,18642.75,18642.75,217800
128,2023-01-05,43073.050781,43137.550781,42298.601563,42608.699219,42608.699219,189100.0
129,2022-12-07,18638.849609,18668.300781,18528.400391,18560.5,18560.5,200500
129,2023-01-06,42649.699219,42685.898438,41877.0,42188.800781,42188.800781,195100.0
130,2022-12-08,18570.849609,18625.0,18536.949219,18609.349609,18609.349609,202800
130,2023-01-09,42404.851563,42716.800781,42186.550781,42582.75,42582.75,161800.0
131,2022-12-09,18662.400391,18664.699219,18410.099609,18496.599609,18496.599609,215800
131,2023-01-10,42642.0,42674.25,41835.75,42014.75,42014.75,179300.0
132,2022-12-12,18402.150391,18521.550781,18345.699219,18497.150391,18497.150391,193900
132,2023-01-11,42071.851563,42318.0,41729.0,42232.699219,42232.699219,169800.0
133,2022-12-13,18524.400391,18617.25,18490.199219,18608.0,18608.0,187600
